Yeast,US-04,US-05,Nottingham,Belle Saison,Munich Wheat Yeast,BRY-97,BE-134
Avg Attunoation,0.75,0.81,0.77,0.8,0.75,0.72,0.9
63,0.19,0.13,0.17,0.14,0.19,0.22,0.04
64,0.205,0.145,0.185,0.155,0.205,0.235,0.055
65,0.22,0.16,0.2,0.17,0.22,0.25,0.07
66,0.235,0.175,0.215,0.185,0.235,0.265,0.085
67,0.25,0.19,0.23,0.2,0.25,0.28,0.1
68,0.265,0.205,0.245,0.215,0.265,0.295,0.115
69,0.28,0.22,0.26,0.23,0.28,0.31,0.13
70,0.295,0.235,0.275,0.245,0.295,0.325,0.145
71,0.31,0.25,0.29,0.26,0.31,0.34,0.16
